"SQGDP1 Gross Domestic Product (GDP) summary, quarterly by state"
"Current-dollar Gross Domestic Product (GDP) (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3","2021:Q4","2022:Q1"
"24000","Maryland",254961.3,259272.5,265714.9,268451.4,270096.8,272466.8,275610.3,278407.4,278092.9,282503.5,283701.4,287564.5,291560.4,295312.8,296941.4,297786.2,295671.7,297391.8,299535.6,303811.7,307997.8,313050.7,316123.0,321741.7,321133.2,325853.6,328294.4,329843.7,332291.9,330946.7,334541.6,332313.8,338189.8,337924.2,341117.9,345078.5,345118.3,351625.1,356929.4,357372.7,364691.1,367225.6,371570.0,375425.5,380862.8,386079.3,389723.2,394268.3,395237.0,397798.7,401716.5,406871.8,405957.4,411156.1,412092.3,415193.1,415750.1,421277.5,423870.5,425539.8,422759.8,387606.8,415081.5,417250.6,430607.4,431318.7,439027.7,451985.8,458827.3
"25000","Massachusetts",336268.1,338958.0,344919.0,347827.6,353125.7,357826.8,358608.4,367519.1,370009.1,375029.1,381619.2,387418.9,389409.2,393467.9,391543.0,388693.5,388348.1,387989.4,390671.2,395010.6,400544.4,408703.1,416457.2,418839.7,414300.3,429135.9,425556.8,433098.9,436320.5,442564.2,446257.8,446525.2,448675.7,450705.9,456748.1,461155.1,457454.6,464399.0,475229.0,484791.6,490415.3,498544.3,499976.6,506469.1,505926.1,512563.1,519824.2,520236.9,521661.3,527908.8,536367.8,543479.2,552395.3,563245.3,567996.0,572552.7,582565.6,591060.1,598503.3,600897.8,600435.8,544140.4,586019.7,599311.4,610699.8,629570.1,642037.7,663749.8,673788.5
"26000","Michigan",398881.4,401052.9,399824.6,401316.5,399424.0,402587.0,402949.3,402515.6,410282.9,411448.6,412388.3,404341.7,396779.3,393562.5,387787.4,383554.5,363413.5,366646.4,368782.8,376092.4,375725.8,388936.3,398038.6,397471.2,399005.9,399612.8,403872.9,415727.2,417615.0,421818.4,425245.1,426086.3,433696.7,434350.6,438684.9,442365.5,440378.2,450078.2,456766.6,459869.8,467004.1,473765.1,478523.9,480640.2,481994.7,491267.7,491577.3,496216.3,496662.8,500433.5,501962.8,507947.4,515983.3,523615.2,522500.9,521111.1,524398.4,531034.3,534448.1,535857.6,532286.2,467167.0,528248.7,532777.8,541144.8,566009.0,574149.8,592349.1,603910.8
"27000","Minnesota",240976.4,243192.1,249169.3,248184.4,250030.7,253896.0,251752.4,253504.6,256326.2,262174.3,263589.6,266162.4,266789.8,266941.6,271208.8,264742.3,260608.5,260233.7,261130.8,266382.8,266131.0,271067.0,275935.1,283792.2,281345.0,288354.4,288202.2,290255.8,295192.1,297012.2,300114.5,300994.4,305602.7,307963.4,314183.0,316756.5,316868.9,323787.2,329157.7,329191.7,333289.1,333551.3,336426.5,338853.7,338349.6,341401.8,347370.6,349121.2,353319.1,353217.2,353093.7,359107.0,365700.8,373256.7,376122.5,378597.9,376909.5,381675.4,385454.8,388118.9,383708.7,351218.4,376935.2,383094.9,392456.9,408960.6,417194.3,429391.2,436382.0
"28000","Mississippi",80481.2,81043.4,82347.8,85921.6,84831.5,86854.1,87806.4,88905.8,89507.4,90090.7,92098.3,93069.2,93482.3,95273.0,95361.4,93941.2,92592.5,91803.8,91218.0,91554.6,92520.0,93869.8,94738.6,94644.1,94477.7,95530.6,96650.7,98213.1,100438.2,101000.9,100738.3,99616.4,102399.5,100989.2,103490.2,102605.2,102552.2,104953.4,104719.4,104976.0,104902.0,105862.3,106554.3,106339.8,107040.6,107134.8,107077.9,107912.2,109552.6,109336.5,109998.7,110962.2,111265.5,112977.2,112498.0,112886.3,113080.2,113828.9,115160.1,116866.1,116407.2,104988.3,115949.8,118037.3,120444.8,123757.5,126263.9,129974.0,132606.5
"29000","Missouri",224184.5,226887.9,229152.5,231660.1,233502.3,237227.5,236782.1,238032.0,238019.6,243486.3,246448.5,249370.8,249643.9,254521.0,252490.2,259528.0,252589.9,251844.0,253661.1,255175.7,257797.6,259623.2,260754.5,261089.2,258673.6,261128.2,262960.1,265506.4,269668.6,271405.2,271870.1,273196.7,279521.2,279152.4,280759.9,282850.6,279894.0,285741.8,290728.3,293665.6,295141.1,297247.7,298744.0,296584.5,298473.4,299823.3,300715.7,304645.6,304076.6,307545.3,309598.6,313667.8,313946.4,320098.7,320516.5,323013.9,326873.1,330222.9,334265.8,337729.7,335481.3,308248.5,333640.0,340098.8,347677.3,356070.4,362955.7,373104.6,379232.3
"30000","Montana",30279.8,30394.2,30975.6,31853.5,32153.5,32815.6,33617.6,34077.7,35376.8,36158.7,36419.3,36978.2,37177.5,37560.6,37602.8,36558.7,36197.5,35795.5,36270.3,36487.7,37821.4,37997.7,38425.6,39099.5,40149.7,40783.2,41096.6,41950.8,42194.1,42018.6,42430.4,42720.3,43481.0,43523.5,43856.9,43890.2,44258.4,45152.7,45482.4,45815.3,46489.1,47030.9,46996.3,45899.9,45044.0,44906.7,45388.7,46624.2,47501.2,48524.7,48649.4,49082.5,50653.3,51102.0,50714.7,51145.1,51215.7,51293.0,51962.9,52685.7,51947.9,47991.8,52340.7,53755.0,56453.1,58755.3,60020.3,61982.6,63244.9
"31000","Nebraska",72723.1,73808.5,75071.6,76654.6,76680.7,79887.1,78881.8,79805.7,82623.3,83221.8,83765.4,85728.8,85380.7,86877.2,86415.2,83838.7,86249.8,85594.7,86649.6,88987.6,88861.0,91365.9,92485.1,93534.1,98557.9,99235.2,99802.4,102088.9,100934.2,103118.4,102802.0,104049.2,107677.2,106984.1,107480.3,106901.3,109549.4,112380.8,112303.5,113550.0,114881.8,116613.3,117454.4,117108.9,116116.9,117394.1,118686.9,120385.8,119877.4,121615.1,122076.1,124216.4,126300.7,126546.7,126256.9,128586.6,128247.7,129735.1,132207.4,135219.5,134755.6,123846.0,134929.0,140225.5,145825.1,149354.5,152222.4,154148.8,157892.5
"32000","Nevada",111843.1,116165.0,117129.1,119527.5,122857.9,125828.5,126311.5,128395.2,129441.4,130305.9,132038.2,134697.9,131830.1,130992.2,131333.4,128282.4,124395.0,121789.5,120742.2,121581.7,122270.6,124136.6,125714.4,126556.1,125653.6,128566.1,127980.3,128511.5,129349.7,129373.2,129542.7,128986.1,131300.0,130850.3,132274.5,133920.9,133562.6,134745.3,136605.6,139121.1,141468.9,144791.1,146326.6,147877.2,148050.1,149981.8,154216.5,155113.1,158064.8,159817.9,162539.4,162717.7,167298.6,169371.1,170771.3,173970.4,177950.9,180388.7,183237.8,185395.9,184994.5,151093.6,172158.2,175528.9,180973.1,190799.1,195777.3,204305.6,208453.6
"33000","New Hampshire",56222.1,56782.3,57276.7,57529.5,58644.2,59049.2,60034.2,62340.5,60797.1,62467.8,61786.7,62076.9,62118.7,61836.0,61760.0,61086.2,61561.6,61610.9,63358.7,63560.2,63357.3,65195.3,65346.0,65475.7,64732.3,66068.2,66262.9,67549.2,67319.4,68064.4,68839.8,69768.7,70006.4,69985.7,70624.8,71287.9,70883.2,72798.2,73170.1,75129.4,74430.9,76299.6,76663.1,78518.3,78025.9,79076.7,79724.4,79533.5,79674.5,79826.7,81529.1,81633.1,82981.9,83891.7,84272.4,84230.1,86641.3,87289.3,87825.2,88274.7,89250.6,80750.5,88889.9,91593.2,92752.6,98745.6,99030.3,102438.8,104435.6
