index,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2016-01-01,12949.666666666666,18792.666666666668,13651.0,13514.0,18641.333333333332,17302.0,22860.666666666668,16013.333333333334,25850.333333333332,15294.333333333334,14251.0,16226.0,13242.666666666666,17252.0,14390.0,15399.0,15602.0,13111.0,14118.333333333334,14778.0,18979.666666666668,21118.333333333332,14725.333333333334,17396.0,11966.0,14709.333333333334,14553.0,16523.0,14894.333333333334,18519.0,20057.0,12823.0,19609.666666666668,14228.0,17314.666666666668,14956.666666666666,14197.0,15261.333333333334,16885.0,16220.333333333334,13572.333333333334,16324.666666666666,14382.333333333334,15447.666666666666,13786.0,16491.333333333332,17583.333333333332,18118.0,12399.666666666666,15634.0,18403.666666666668
2016-04-01,12980.333333333334,18720.0,13785.0,13599.0,18736.333333333332,17349.333333333332,22894.333333333332,16188.0,26022.0,15393.0,14257.666666666666,16322.666666666666,13344.333333333334,17283.333333333332,14496.333333333334,15380.0,15728.666666666666,13193.0,14188.666666666666,14896.0,19131.333333333332,21328.666666666668,14810.666666666666,17413.333333333332,11971.0,14749.0,14576.333333333334,16440.0,15019.333333333334,18727.333333333332,20084.333333333332,12938.0,19655.333333333332,14236.666666666666,17263.0,15021.666666666666,14146.666666666666,15283.333333333334,16973.333333333332,16331.666666666666,13659.333333333334,16322.666666666666,14395.666666666666,15425.333333333334,13834.0,16494.333333333332,17660.0,18188.666666666668,12436.333333333334,15670.333333333334,18215.333333333332
2016-07-01,13001.333333333334,18739.333333333332,13906.666666666666,13638.333333333334,18936.0,17511.666666666668,22889.333333333332,16316.0,26084.0,15562.0,14357.333333333334,16432.666666666668,13421.333333333334,17328.333333333332,14596.333333333334,15477.0,15847.333333333334,13335.0,14258.0,14917.666666666666,19265.666666666668,21612.666666666668,14855.333333333334,17608.333333333332,11996.666666666666,14815.333333333334,14688.0,16417.333333333332,15421.666666666666,18916.666666666668,20208.333333333332,12955.333333333334,19750.0,14313.666666666666,17402.333333333332,15076.333333333334,14156.0,15335.333333333334,17157.0,16515.0,13762.333333333334,16474.0,14538.666666666666,15540.666666666666,13941.666666666666,16578.333333333332,17789.0,18309.666666666668,12457.0,15800.0,18208.333333333332
2016-10-01,13081.0,18851.0,13952.333333333334,13738.0,19099.0,17704.333333333332,22902.333333333332,16448.0,26299.333333333332,15694.333333333334,14514.0,16557.0,13430.0,17510.333333333332,14705.666666666666,15457.333333333334,15926.666666666666,13349.0,14427.0,15052.0,19448.666666666668,21645.333333333332,14968.0,17697.0,12089.333333333334,14926.333333333334,14915.0,16442.0,15246.666666666666,18918.333333333332,20333.333333333332,12979.333333333334,20022.0,14468.333333333334,17353.0,15215.0,14209.666666666666,15481.0,17209.666666666668,16520.333333333332,13904.333333333334,16448.0,14664.666666666666,15708.333333333334,14100.333333333334,16560.333333333332,17978.0,18600.0,12551.333333333334,15820.333333333334,18330.666666666668
2017-01-01,13274.333333333334,18854.666666666668,14202.666666666666,13919.0,19280.333333333332,18030.333333333332,23050.0,16642.0,26384.0,16009.333333333334,14796.666666666666,16840.333333333332,13596.666666666666,17586.666666666668,14817.0,15676.0,16078.666666666666,13472.0,14548.333333333334,15268.0,19479.666666666668,21858.666666666668,15095.0,17999.333333333332,12225.666666666666,14975.0,15173.0,16456.333333333332,15628.666666666666,19180.333333333332,20491.0,13027.333333333334,20605.0,14659.0,17362.333333333332,15401.0,14504.0,15697.0,17236.666666666668,16629.333333333332,14119.0,16732.333333333332,14820.0,16073.666666666666,14191.666666666666,16771.333333333332,18118.333333333332,18800.666666666668,12893.666666666666,15999.666666666666,18586.0
2017-04-01,13370.666666666666,18956.333333333332,14322.0,13957.0,19485.333333333332,18269.0,23332.0,16685.333333333332,26513.666666666668,16269.0,14910.333333333334,16964.0,13815.0,17784.666666666668,14970.666666666666,15732.0,16166.0,13530.333333333334,14600.0,15359.0,19628.666666666668,22083.666666666668,15160.666666666666,18034.666666666668,12234.0,15053.0,15373.333333333334,16658.666666666668,15792.0,19305.0,20717.666666666668,13075.0,20862.666666666668,14778.0,17533.666666666668,15491.0,14754.0,15944.0,17358.666666666668,16860.333333333332,14234.666666666666,16792.333333333332,14911.0,16289.0,14356.333333333334,16813.666666666668,18243.666666666668,18950.666666666668,12955.0,16143.0,18956.0
2017-07-01,13435.0,19199.0,14532.333333333334,14009.0,19695.0,18527.333333333332,23457.333333333332,16936.333333333332,26772.0,16443.0,15022.666666666666,17107.666666666668,13913.0,17970.333333333332,15084.0,15720.666666666666,16258.666666666666,13613.333333333334,14752.666666666666,15555.0,19778.0,22356.0,15221.333333333334,18058.666666666668,12331.333333333334,15143.666666666666,15409.0,16757.666666666668,15971.666666666666,19666.0,20893.666666666668,13174.333333333334,21067.666666666668,14876.333333333334,17425.666666666668,15619.333333333334,14899.0,16060.666666666666,17590.333333333332,17206.0,14305.0,16781.666666666668,14998.666666666666,16503.333333333332,14565.666666666666,16955.0,18386.333333333332,19154.0,13112.666666666666,16367.666666666666,19127.0
2017-10-01,13577.0,19388.0,14651.666666666666,14189.0,19963.333333333332,18875.333333333332,23683.666666666668,17065.666666666668,26985.666666666668,16647.666666666668,15259.0,17145.666666666668,14090.333333333334,18183.333333333332,15261.666666666666,15921.666666666666,16484.666666666668,13748.0,14858.0,15696.666666666666,20021.333333333332,22544.333333333332,15387.333333333334,18327.333333333332,12426.666666666666,15327.666666666666,15530.333333333334,17064.0,15966.666666666666,19744.666666666668,21089.0,13292.333333333334,21512.666666666668,15047.333333333334,17580.0,15767.0,15083.666666666666,16298.0,17795.666666666668,17224.666666666668,14421.333333333334,16860.666666666668,15218.666666666666,16768.666666666668,14761.666666666666,17078.666666666668,18556.333333333332,19442.333333333332,13254.666666666666,16471.333333333332,19420.0
2018-01-01,13716.0,19615.333333333332,14896.0,14328.666666666666,20114.666666666668,19105.333333333332,24041.0,17331.666666666668,27156.666666666668,16894.666666666668,15385.0,17213.666666666668,14291.333333333334,18522.666666666668,15529.0,16121.333333333334,16663.333333333332,13816.666666666666,15116.666666666666,15894.333333333334,19990.666666666668,22903.0,15624.333333333334,18539.0,12476.666666666666,15455.666666666666,15755.333333333334,17084.666666666668,16379.0,20128.0,21330.0,13492.0,21436.666666666668,15179.333333333334,18086.666666666668,15910.0,15263.666666666666,16553.666666666668,18081.666666666668,17371.666666666668,14572.0,17261.333333333332,15433.333333333334,17065.666666666668,15075.333333333334,17213.666666666668,18692.666666666668,19811.666666666668,13441.333333333334,16741.333333333332,19739.0
2018-04-01,13803.0,19746.333333333332,14998.0,14446.0,20398.333333333332,19346.666666666668,24239.333333333332,17501.0,27346.666666666668,17024.666666666668,15523.0,17357.0,14378.666666666666,18761.333333333332,15621.333333333334,16280.333333333334,16848.666666666668,13967.333333333334,15312.666666666666,16032.333333333334,20139.0,23062.666666666668,15732.666666666666,18776.0,12606.666666666666,15720.333333333334,15876.333333333334,17181.333333333332,16442.0,20218.666666666668,21492.0,13622.666666666666,21652.666666666668,15349.333333333334,18328.0,16054.333333333334,15370.333333333334,16733.666666666668,18260.333333333332,17457.0,14692.666666666666,17301.333333333332,15559.666666666666,17228.333333333332,15232.333333333334,17358.333333333332,18807.0,19901.0,13645.333333333334,16812.666666666668,19986.0
2018-07-01,13891.666666666666,20086.0,15183.666666666666,14616.333333333334,20664.0,19647.333333333332,24639.666666666668,17741.0,27741.333333333332,17257.0,15729.333333333334,17464.0,14457.333333333334,18925.666666666668,15736.333333333334,16405.333333333332,17014.0,14033.0,15427.0,16157.0,20317.333333333332,23294.0,15834.333333333334,18940.0,12664.333333333334,15797.333333333334,15937.666666666666,17310.666666666668,16622.0,20429.0,21703.0,13801.666666666666,21830.0,15476.333333333334,18565.666666666668,16234.333333333334,15557.666666666666,16987.333333333332,18545.0,17515.333333333332,14837.0,17425.0,15787.333333333334,17440.666666666668,15413.333333333334,17457.666666666668,18990.0,20191.333333333332,13923.666666666666,17016.666666666668,20246.0
2018-10-01,14054.0,20239.0,15296.666666666666,14815.666666666666,20847.666666666668,19882.0,24661.333333333332,17857.666666666668,27818.333333333332,17415.0,15781.0,17548.666666666668,14651.666666666666,19132.666666666668,15911.0,16792.0,17219.666666666668,14148.666666666666,15547.333333333334,16193.0,20383.0,23440.666666666668,15896.0,19173.666666666668,12808.666666666666,15992.666666666666,16163.0,17785.0,16855.0,20447.666666666668,21810.666666666668,13915.0,21880.666666666668,15685.666666666666,19021.666666666668,16376.666666666666,15751.0,17104.333333333332,18698.666666666668,17746.0,14987.666666666666,18101.333333333332,15899.333333333334,17603.666666666668,15615.0,17557.0,19144.0,20336.666666666668,14044.333333333334,17180.0,20456.333333333332
2019-01-01,14256.666666666666,20358.0,15559.333333333334,14913.0,21157.666666666668,20200.0,24969.666666666668,17794.666666666668,27515.333333333332,17659.666666666668,16083.0,17744.666666666668,14929.666666666666,19292.333333333332,16130.333333333334,16620.666666666668,17445.666666666668,14390.666666666666,15776.666666666666,16538.0,20468.333333333332,24004.0,16126.666666666666,19175.666666666668,12942.0,16189.333333333334,16447.333333333332,17646.0,17139.0,21067.0,22144.0,14107.666666666666,22199.666666666668,15949.333333333334,18999.0,16495.333333333332,16169.0,17295.666666666668,18815.666666666668,18128.333333333332,15289.333333333334,18209.666666666668,16177.666666666666,17709.0,16105.666666666666,17934.666666666668,19315.333333333332,20753.666666666668,14093.666666666666,17336.333333333332,20448.666666666668
2019-04-01,14342.333333333334,20472.0,15657.333333333334,14923.666666666666,21362.0,20245.666666666668,24932.0,17817.333333333332,27633.0,17743.0,16201.666666666666,17874.0,15030.333333333334,19319.666666666668,16186.333333333334,16524.666666666668,17454.0,14474.333333333334,15797.333333333334,16603.0,20587.0,24027.666666666668,16270.0,19223.333333333332,12959.333333333334,16213.0,16479.0,17577.0,17214.0,21062.0,22257.333333333332,14207.0,22444.666666666668,16041.333333333334,18794.333333333332,16542.333333333332,16065.333333333334,17381.333333333332,18883.333333333332,18244.0,15316.0,18072.666666666668,16222.333333333334,17743.333333333332,16070.333333333334,17862.0,19390.333333333332,20839.0,14143.333333333334,17434.666666666668,20404.666666666668
2019-07-01,14423.333333333334,20621.0,15801.333333333334,15044.666666666666,21470.333333333332,20470.0,24896.0,17846.0,27803.666666666668,17799.0,16269.666666666666,18061.333333333332,15139.333333333334,19470.333333333332,16284.333333333334,16833.666666666668,17676.666666666668,14579.0,15878.333333333334,16677.333333333332,20636.0,24055.666666666668,16294.666666666666,19389.0,13113.0,16351.0,16676.666666666668,17906.0,17282.0,21075.333333333332,22320.333333333332,14382.666666666666,22479.0,16100.666666666666,19231.0,16620.666666666668,16170.333333333334,17510.0,18901.0,18208.0,15407.0,18461.0,16272.0,17862.333333333332,16252.333333333334,17969.666666666668,19542.666666666668,20956.666666666668,14150.333333333334,17473.333333333332,20547.0
2019-10-01,14508.666666666666,20711.666666666668,15949.0,15151.666666666666,21780.333333333332,20536.666666666668,25082.333333333332,17900.666666666668,28037.666666666668,17938.666666666668,16378.666666666666,18152.0,15229.666666666666,19611.666666666668,16404.333333333332,16885.0,17829.666666666668,14721.333333333334,16018.666666666666,16821.0,20810.333333333332,24176.333333333332,16399.333333333332,19480.0,13233.0,16465.0,16830.666666666668,18088.666666666668,17425.333333333332,21140.0,22412.333333333332,14490.0,22643.333333333332,16248.333333333334,19258.333333333332,16751.333333333332,16272.0,17761.0,19039.333333333332,18379.0,15542.0,18610.666666666668,16348.666666666666,18002.333333333332,16457.0,18029.333333333332,19691.666666666668,21195.0,14103.666666666666,17640.666666666668,20657.0
2020-01-01,14637.0,20633.0,16137.666666666666,15258.666666666666,22104.0,20820.0,25251.333333333332,18177.333333333332,28398.333333333332,18131.666666666668,16488.0,18207.666666666668,15485.333333333334,19806.666666666668,16600.333333333332,16938.333333333332,17910.0,14856.333333333334,16120.0,17072.333333333332,21078.333333333332,24524.333333333332,16499.666666666668,19718.666666666668,13373.333333333334,16621.333333333332,16788.0,18234.0,17742.666666666668,21507.0,22735.0,14707.333333333334,22823.666666666668,16444.666666666668,19539.333333333332,16955.0,16216.0,18001.666666666668,19189.333333333332,18551.666666666668,15679.0,19076.333333333332,16474.333333333332,17976.0,16570.333333333332,18331.666666666668,19928.666666666668,21514.333333333332,14232.333333333334,17740.333333333332,20609.0
2020-04-01,15922.666666666666,22164.0,17998.0,16771.333333333332,23571.333333333332,22070.666666666668,26363.666666666668,19187.333333333332,30639.0,19268.0,18006.666666666668,20193.666666666668,16759.666666666668,21269.333333333332,17799.333333333332,18563.333333333332,19352.333333333332,16791.666666666668,18047.333333333332,19091.666666666668,22497.666666666668,26759.333333333332,18922.333333333332,21595.666666666668,15104.0,18124.666666666668,18842.0,19690.0,18840.666666666668,22885.0,23923.666666666668,16210.666666666666,24719.666666666668,17725.666666666668,21185.0,18600.0,17697.666666666668,19436.333333333332,21212.333333333332,20596.666666666668,17162.0,20572.666666666668,17558.0,19071.0,17933.333333333332,20439.333333333332,21126.0,23071.333333333332,16231.333333333334,19128.333333333332,21666.0
2020-07-01,15167.333333333334,20764.333333333332,17384.333333333332,15673.0,24056.666666666668,21193.666666666668,25955.333333333332,18545.333333333332,30446.666666666668,18838.0,17458.666666666668,18785.0,15850.0,20854.666666666668,17218.333333333332,17436.333333333332,18267.333333333332,15532.666666666666,17146.333333333332,17582.666666666668,22104.666666666668,25673.666666666668,17685.666666666668,20295.333333333332,14067.0,17018.333333333332,17378.333333333332,18578.0,17953.0,21948.666666666668,23598.0,15451.666666666666,24339.333333333332,16951.666666666668,19670.0,17789.666666666668,16416.0,18800.0,20605.666666666668,19809.333333333332,16168.333333333334,19359.333333333332,16892.0,18518.333333333332,16984.333333333332,18897.666666666668,20548.333333333332,22439.0,14700.333333333334,18070.0,20332.333333333332
