index,purchase_index,fixed_mortgage_30,adjustable_mortgage,fixed_mortgage_15,all_items,all_items_no_fe,shelter,nominal_gdp,personal_income,population,per_capita_income,household_dti,housing_price_index,initial_claims,continued_claims,insured_employees,initial_claims_rate,continued_claims_rate
2012-02-29,184.49,3.88969465648855,2.8124400589027476,3.162399440503547,130.953,123.397,134.504,5293635.933333334,4560029.544444445,313258253.3333333,14556.622642294275,1.5680419845824574,87.24969138675067,350403.25,3927116.5,125685743.0,0.27671652642978356,3.122456944295814
2012-03-31,171.4,3.952666466107279,2.8649172749653546,3.196870128917239,131.905,123.847,134.829,5318631.333333335,4594326.133333333,313454791.0,14657.030093023313,1.522571216185818,86.9432010635371,334920.6,3657634.9999999995,125711783.0,0.2629469382632495,2.9033378320992425
2012-05-31,190.31,3.7977112742000374,2.831937743714659,3.033618269423863,132.154,124.289,135.285,5349376.533333332,4628576.51111111,313838903.0,14748.171924892873,1.5728199490502075,86.65970066674055,328597.5,3063946.0,126216415.25,0.2593664916075018,2.4252243308115564
2012-06-30,188.73,3.6748850157257635,2.7997689859806636,2.9524094561945615,131.956,124.41,135.572,5364749.133333335,4645701.7,314030959.0,14793.740676472604,1.5979739895389644,86.51804446794688,381463.9999999999,3075463.8000000003,126236884.20000002,0.2941088376770071,2.434930216463231
2012-07-31,190.96,3.549368483831562,2.7395437196506958,2.844604534239813,131.731,124.439,135.794,5377251.944444444,4642371.855555554,314256561.0,14772.570143102961,1.5990333238927903,86.88387904684635,354511.25,3256715.0,126604303.25,0.2708725949168515,2.570086829846581
2012-09-30,178.15,3.4964091177904817,2.734844604991687,2.8014368079678498,132.988,124.909,136.144,5402257.566666666,4635712.166666666,314707765.0,14730.223937058981,1.601150751254255,87.61563882061506,310009.80000000005,2824121.9999999995,126619520.20000002,0.24179943955312344,2.2286065014388483
2012-10-31,189.98,3.382391153067265,2.73743829322323,2.6923254422405547,132.892,125.1,136.452,5413289.3,4688937.388888889,314931155.3333334,14888.545265578117,1.6007223786400586,87.83362898357476,349717.75,2761079.75,127167949.25,0.2717229782007955,2.1696122894399608
2012-11-30,190.29,3.351602430403628,2.7339765330638706,2.6617093734934865,132.208,125.011,136.566,5424321.033333332,4742162.611111111,315154545.6666666,15046.8783230378,1.6002930604563803,88.05168251150592,433309.75,2979094.75,127200252.0,0.32435554989923415,2.328975994511833
2012-12-31,200.04,3.3449028376550585,2.6999814813544676,2.657474169487696,131.77,124.781,136.748,5435352.766666668,4795387.833333333,315377936.0,15205.223084514277,1.5998627987125327,88.26979926975932,464786.4,3302364.9999999995,127203982.8,0.3459226182273059,2.582406585626465
2013-02-28,208.0,3.5324099518902545,2.629942747676165,2.767493212669683,133.204,125.509,137.453,5482110.833333332,4711995.033333333,315721919.3333334,14924.683926764756,1.51185105474773,88.54857094640695,336437.5,3573454.0,127711821.0,0.25840184843180775,2.794954924035778
