index,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2014-01-01,406606.5,61491.083333333336,550959.6666666666,246598.91666666666,3209522.75,442818.0,301134.5,77648.0,54248.166666666664,1641045.3333333333,836899.3333333334,119195.0,136005.25,1080735.25,549979.5,259554.75,242347.91666666666,368691.3333333333,386823.5,111268.75,499383.25,566379.75,830488.3333333334,454809.9166666667,248982.83333333334,504587.4166666667,85145.16666666667,156992.58333333334,232951.58333333334,111356.41666666667,751423.5833333334,174678.5,1663701.3333333333,821084.75,61505.833333333336,969683.25,321949.5,329203.8333333333,1072476.6666666667,89278.91666666667,397805.8333333333,70443.66666666667,545038.3333333334,2228040.75,244571.16666666666,52792.083333333336,692562.5,586141.4166666666,154549.0,480919.0833333333,48416.166666666664
2014-04-01,407003.25,61474.0,552413.3333333334,246696.91666666666,3216132.4166666665,444413.0,301177.8333333333,77832.16666666667,54444.5,1646671.0,838795.5,119401.5,136448.58333333334,1080760.4166666667,550508.5833333334,259923.5,242518.0,368914.0,387188.1666666667,111335.0,500266.0833333333,567618.5833333334,830929.5833333334,455649.5833333333,248961.75,504858.3333333333,85321.41666666667,157316.33333333334,233736.58333333334,111513.16666666667,752311.75,174608.0,1665697.8333333333,822553.3333333334,61853.333333333336,970309.5,322387.0,330015.0833333333,1073011.3333333333,89368.66666666667,398819.0833333333,70568.25,546023.0,2237441.4166666665,245434.58333333334,52806.916666666664,693793.6666666666,588014.5,154453.25,481296.9166666667,48410.833333333336
2014-07-01,407536.0,61494.916666666664,554100.9166666666,246908.66666666666,3223758.75,446365.6666666667,301257.75,78045.16666666667,54672.0,1653673.6666666667,841135.75,119666.58333333333,136939.75,1081016.9166666667,551114.3333333334,260336.16666666666,242790.91666666666,369277.8333333333,387698.75,111390.16666666667,501264.0833333333,568875.5,831513.5,456578.0,248986.33333333334,505308.5,85532.91666666667,157674.66666666666,234687.0,111667.91666666667,753426.75,174638.08333333334,1668089.9166666667,824403.25,62234.5,971165.1666666666,323006.4166666667,331072.25,1073794.3333333333,89483.91666666667,400061.5,70697.16666666667,547226.0833333334,2247857.5,246431.5,52849.583333333336,695177.5833333334,590288.5833333334,154379.25,481787.3333333333,48450.0
2014-10-01,408073.9166666667,61537.833333333336,555828.9166666666,247157.58333333334,3231379.6666666665,448522.6666666667,301269.6666666667,78261.33333333333,54915.166666666664,1661443.0,843678.6666666666,119951.75,137432.91666666666,1081138.9166666667,551616.3333333334,260696.08333333334,243074.5,369663.75,388237.9166666667,111398.25,502218.9166666667,569948.8333333334,831960.25,457428.6666666667,248985.91666666666,505766.0833333333,85749.75,158011.08333333334,235726.41666666666,111782.25,754495.4166666666,174705.66666666666,1670301.0,826372.0,62629.75,971915.5833333334,323693.0,332254.0833333333,1074427.5,89592.41666666667,401415.4166666667,70806.0,548474.5,2258576.0833333335,247484.08333333334,52903.25,696495.5,592758.8333333334,154275.75,482215.75,48515.583333333336
2015-01-01,408422.25,61556.5,557278.5833333334,247283.25,3237594.0,450478.25,301136.5,78439.75,55134.833333333336,1668305.25,845876.5,120188.58333333333,137858.83333333334,1080758.0,551862.5833333334,260921.91666666666,243241.25,369877.1666666667,388605.4166666667,111346.16666666667,502950.6666666667,570754.0833333334,832006.6666666666,458058.8333333333,248878.25,505974.6666666667,85920.75,158271.58333333334,236659.58333333334,111844.0,755202.9166666666,174685.16666666666,1671715.6666666667,827967.8333333334,62991.333333333336,972191.0,324224.3333333333,333266.0,1074505.3333333333,89658.0,402582.3333333333,70880.58333333333,549464.5,2268341.75,248432.5,52931.916666666664,697509.5,594950.0833333334,154089.33333333334,482408.0,48558.75
2015-04-01,408789.5,61579.0,558742.0833333334,247431.16666666666,3243795.4166666665,452473.5833333333,301023.0,78617.83333333333,55355.5,1675179.4166666667,848101.75,120415.75,138298.41666666666,1080444.5,552168.25,261181.08333333334,243432.0,370131.9166666667,388986.0,111309.75,503690.4166666667,571615.9166666666,832117.3333333334,458745.75,248775.83333333334,506235.0833333333,86100.75,158548.0,237595.83333333334,111919.16666666667,755936.5,174662.25,1673176.0,829606.0833333334,63364.833333333336,972555.9166666666,324778.75,334312.5,1074678.75,89730.5,403762.5,70963.91666666667,550500.8333333334,2278149.0833333335,249410.0,52965.833333333336,698563.0833333334,597190.3333333334,153925.75,482658.3333333333,48607.833333333336
2015-07-01,409305.5833333333,61643.5,560529.4166666666,247670.66666666666,3250321.8333333335,454481.5,300998.6666666667,78816.0,55562.083333333336,1683203.8333333333,850712.4166666666,120662.0,138904.5,1080365.3333333333,552759.3333333334,261517.66666666666,243638.66666666666,370490.25,389421.75,111366.91666666667,504495.3333333333,572633.5,832687.3333333334,459686.0,248772.91666666666,506660.75,86330.75,158901.91666666666,238627.0,112061.41666666667,756950.6666666666,174736.08333333334,1674969.5,831763.9166666666,63586.416666666664,973270.9166666666,325297.0833333333,335701.3333333333,1075259.25,89842.5,405052.75,71108.83333333333,551768.0833333334,2288071.3333333335,250616.41666666666,53000.25,699814.0,599863.1666666666,153775.75,483095.1666666667,48626.333333333336
2015-10-01,409840.6666666667,61737.916666666664,562459.4166666666,247924.08333333334,3256221.3333333335,456356.0,300957.0,79006.58333333333,55739.416666666664,1691764.0,853472.5,120893.83333333333,139627.58333333334,1080156.9166666667,553458.0,261835.16666666666,243768.75,370831.3333333333,389794.5833333333,111481.08333333333,505209.25,573609.75,833436.8333333334,460716.1666666667,248798.58333333334,507076.5,86578.25,159277.83333333334,239681.08333333334,112230.33333333333,757979.75,174850.08333333334,1676536.75,834184.8333333334,63634.333333333336,973997.5,325671.25,337310.8333333333,1075841.0,89956.91666666667,406333.25,71297.16666666667,553089.1666666666,2297434.9166666665,251974.16666666666,53017.0,701053.75,602767.5,153584.66666666666,483543.75,48597.5
2016-01-01,410228.5,61818.333333333336,564165.1666666666,248085.66666666666,3261028.9166666665,458076.0,300807.4166666667,79166.16666666667,55901.583333333336,1699587.5,855968.0833333334,121098.58333333333,140298.08333333334,1079568.1666666667,553965.1666666666,262052.91666666666,243811.08333333334,371046.3333333333,390037.1666666667,111548.08333333333,505752.9166666667,574388.75,833888.6666666666,461582.5,248742.16666666666,507307.1666666667,86792.91666666667,159594.0,240649.0,112361.0,758736.5833333334,174893.08333333334,1677514.4166666667,836317.8333333334,63659.916666666664,974370.0,325933.3333333333,338791.6666666667,1076011.3333333333,90040.25,407468.1666666667,71460.0,554216.0833333334,2306007.4166666665,253253.5,53016.416666666664,702065.9166666666,605466.8333333334,153332.41666666666,483817.6666666667,48553.083333333336
2016-04-01,410637.5833333333,61902.416666666664,565884.25,248266.58333333334,3265889.3333333335,459836.0,300674.25,79329.41666666667,56066.333333333336,1707405.9166666667,858503.4166666666,121304.08333333333,140981.75,1079044.3333333333,554523.4166666666,262298.0,243875.75,371298.75,390298.1666666667,111628.75,506310.5,575227.1666666666,834401.0833333334,462503.1666666667,248692.83333333334,507584.4166666667,87015.33333333333,159928.5,241623.83333333334,112503.91666666667,759519.5,174933.16666666666,1678555.9166666667,838497.3333333334,63695.666666666664,974823.1666666666,326223.3333333333,340304.6666666667,1076266.4166666667,90131.5,408616.0,71628.33333333333,555386.0833333334,2314636.5,254569.75,53020.25,703124.8333333334,608220.8333333334,153098.58333333334,484144.25,48513.333333333336
2016-07-01,411171.25,61942.166666666664,567715.75,248527.5,3271201.3333333335,461567.1666666667,300688.6666666667,79520.66666666667,56232.666666666664,1715319.5,861112.4166666666,121446.83333333333,141756.25,1078829.3333333333,555227.0,262631.0833333333,243975.91666666666,371705.4166666667,390449.0833333333,111748.33333333333,507062.3333333333,576311.5833333334,835218.0,463597.75,248717.0,508065.8333333333,87279.66666666667,160272.58333333334,242693.83333333334,112686.83333333333,760692.9166666666,175017.75,1679933.5833333333,840827.25,63749.833333333336,975680.5,326489.0,341716.5,1076982.25,90228.33333333333,409866.0833333333,71831.91666666667,556808.25,2323286.5833333335,255937.33333333334,53064.0,704423.8333333334,611114.9166666666,152886.16666666666,484686.75,48446.166666666664
2016-10-01,411704.25,61922.5,569488.6666666666,248791.41666666666,3276136.25,463131.8333333333,300748.75,79716.5,56390.666666666664,1722738.25,863565.1666666666,121504.75,142576.33333333334,1078586.5833333333,555899.75,262957.0833333333,244027.58333333334,372149.5,390378.4166666667,111869.5,507859.4166666667,577455.3333333334,836068.8333333334,464707.6666666667,248746.0,508590.5833333333,87555.16666666667,160574.83333333334,243792.75,112871.83333333333,762008.8333333334,175095.66666666666,1681132.5833333333,843060.4166666666,63803.75,976614.0,326632.0,342913.25,1077774.3333333333,90301.5,411096.1666666667,72043.41666666667,558313.25,2331326.75,257285.58333333334,53129.583333333336,705763.4166666666,613963.6666666666,152642.0,485277.8333333333,48335.5
2017-01-01,412076.6666666667,61882.5,571005.5833333334,248951.75,3279794.5,464518.0,300686.4166666667,79876.91666666667,56531.25,1729330.5833333333,865723.0833333334,121518.5,143334.5,1077913.0833333333,556358.4166666666,263168.0833333333,243977.58333333334,372446.75,390162.8333333333,111937.91666666667,508463.4166666667,578372.8333333334,836579.75,465627.3333333333,248685.83333333334,508901.3333333333,87791.83333333333,160809.41666666666,244791.16666666666,113012.33333333333,763006.5833333334,175092.83333333334,1681642.25,844969.75,63831.583333333336,977148.4166666666,326641.6666666667,343961.5833333333,1078096.8333333333,90338.41666666667,412167.0833333333,72225.08333333333,559598.4166666666,2338485.9166666665,258540.16666666666,53174.333333333336,706839.25,616563.25,152328.5,485671.25,48205.0
2017-04-01,412442.75,61841.5,572496.5,249115.08333333334,3283227.3333333335,465916.9166666667,300622.25,80035.16666666667,56669.833333333336,1735821.5833333333,867860.5,121514.83333333333,144099.5,1077234.5833333333,556838.75,263397.1666666667,243936.25,372764.5833333333,389941.25,112014.66666666667,509044.1666666667,579310.5,837105.0833333334,466572.6666666667,248617.25,509232.5,88031.75,161051.91666666666,245778.58333333334,113158.83333333333,763982.25,175073.58333333334,1682090.3333333333,846873.5,63863.083333333336,977711.6666666666,326651.3333333333,345019.75,1078443.6666666667,90377.08333333333,413228.3333333333,72410.0,560893.5,2345535.0833333335,259810.5,53222.833333333336,707915.25,619174.5833333334,152027.08333333334,486087.8333333333,48077.083333333336
2017-07-01,413001.0,61791.833333333336,574361.0,249338.75,3287012.25,467545.5,300723.0,80239.25,56799.833333333336,1742406.1666666667,870241.1666666666,121565.41666666667,144883.91666666666,1076838.0,557648.5833333334,263683.0833333333,244030.91666666666,373143.6666666667,389851.25,112148.33333333333,509753.75,580318.0833333334,837831.0,467648.25,248562.83333333334,509702.75,88267.83333333333,161333.83333333334,246926.08333333334,113326.0,765164.0,175142.16666666666,1683156.1666666667,849111.4166666666,63946.333333333336,978546.9166666666,326837.4166666667,346030.0833333333,1079332.6666666667,90495.16666666667,414455.1666666667,72577.08333333333,562398.0833333334,2353021.9166666665,261080.58333333334,53280.333333333336,709110.3333333334,621714.9166666666,151795.75,486674.1666666667,48011.583333333336
2017-10-01,413583.1666666667,61712.666666666664,576370.9166666666,249520.25,3290026.0,469227.1666666667,300857.8333333333,80457.41666666667,56907.0,1748309.1666666667,872559.0,121630.66666666667,145629.75,1076294.0,558570.4166666666,263914.75,244160.83333333334,373442.25,389744.5833333333,112287.75,510395.5,581156.0,838415.75,468659.5,248425.41666666666,510103.75,88463.16666666667,161593.58333333334,248145.58333333334,113467.0,766239.5833333334,175230.75,1684171.75,851361.6666666666,64055.0,979249.1666666666,327067.8333333333,346850.5833333333,1080285.0,90652.25,415691.0833333333,72698.16666666667,563893.75,2360115.3333333335,262263.25,53320.916666666664,710159.1666666666,623943.6666666666,151567.41666666666,487221.9166666667,47990.916666666664
2018-01-01,413980.8333333333,61611.416666666664,578105.3333333334,249588.58333333334,3291688.6666666665,470717.0,300855.4166666667,80635.5,56992.75,1753278.0833333333,874532.5833333334,121650.0,146312.08333333334,1075272.6666666667,559249.6666666666,264019.0833333333,244178.91666666666,373580.0833333333,389470.3333333333,112370.33333333333,510817.0,581744.4166666666,838620.25,469458.8333333333,248183.16666666666,510273.0833333333,88614.66666666667,161776.75,249255.33333333334,113557.08333333333,766962.6666666666,175233.25,1684428.9166666667,853245.0833333334,64135.083333333336,979502.0833333334,327149.0,347507.4166666667,1080709.6666666667,90771.58333333333,416738.25,72784.33333333333,565141.9166666666,2366255.5833333335,263348.5833333333,53339.0,710913.25,625902.8333333334,151266.83333333334,487545.6666666667,47947.0
