agency_id,agency_lat,agency_lon
84593,36.193629,-115.116319
82742,26.165137,-80.182087
84976,25.776436,-80.214915
80922,29.392211,-98.484181
90289,40.744794,-73.903899
80911,35.512581,-97.534639
83399,40.838111,-73.845082
80499,40.75416,-73.992666
80879,29.935236,-90.105393
80863,41.317485,-72.941892
81113,41.672947,-72.7919
81022,,
80914,40.338691,-75.927557
80871,41.905299,-87.66918
80892,39.938483,-75.117478
90287,40.650587,-73.950571
90296,40.682859,-73.926284
80846,33.518591,-86.810324
80880,39.312091,-76.615584
84932,43.615481,-116.223352
84527,39.952988,-83.798847
82307,29.659228,-82.331822
80077,39.728648,-75.54328
84895,44.933828,-93.084428
80706,40.608474,-105.071507
82432,43.440085,-85.939691
81328,,
83167,45.009526,-93.173355
90540,41.051456,-73.535515
84874,32.77846,-117.119549
84873,35.773887,-78.720616
80406,40.693144,-89.590713
83168,36.006091,-115.087089
84872,32.764,-96.8293
90481,,
90196,42.028399,-71.24467
82226,40.301378,-74.303212
90480,,
81528,45.570138,-122.610004
80751,38.902814,-77.045496
90466,33.90597,-84.477872
83581,42.32992,-83.04678
83442,38.688648,-75.384081
83441,39.684835,-75.735039
80570,39.168204,-75.545836
84434,38.89909,-77.033669
80759,37.746286,-122.201887
90516,32.915319,-117.120236
84475,37.700762,-122.483248
84941,,
90185,21.315471,-158.080843
90432,42.258451,-71.803216
84375,38.983347,-77.027069
84374,28.010563,-82.506108
84373,38.626689,-90.287643
84371,29.491534,-98.569032
90431,38.56323,-121.336493
90430,43.180658,-77.61387
90429,37.501735,-77.573095
84370,35.859883,-78.704644
84530,33.448039,-112.054109
84529,39.967664,-75.128151
90428,28.552259,-81.474451
84369,37.82604,-122.257685
84368,40.738934,-74.168862
84553,45.060281,-93.323403
84365,43.089766,-87.963149
84364,35.139831,-89.981143
84363,33.928836,-118.35273
84362,34.765876,-92.340663
84361,42.708482,-71.161535
84533,36.134229,-115.224974
84360,39.049305,-94.585369
84359,30.326618,-81.653248
84358,32.391766,-90.195494
84357,29.985793,-95.492509
90427,21.297665,-157.837423
84366,41.758311,-72.675468
84531,39.719711,-104.815088
84356,32.674987,-96.85737
84355,34.033996,-81.093902
84354,41.504101,-81.641031
84353,41.778357,-87.733388
84352,35.203132,-80.744152
84351,32.878429,-80.013356
84350,42.88638,-78.877492
84349,42.32271,-71.099514
84348,33.475386,-86.822852
84346,33.776979,-84.296671
84344,39.295079,-76.62041
84347,33.379711,-82.087334
84566,35.199404,-80.742765
80735,25.890174,-80.185362
80722,30.357169,-91.080238
90208,34.096262,-117.64849
84534,41.309081,-72.896423
84449,41.770305,-72.700203
82475,41.063056,-81.576935
80038,41.422377,-91.044834
90155,32.527229,-93.727003
81410,40.051884,-75.185138
90478,42.459574,-83.00952
82077,42.617948,-82.891221
84473,43.1022,-89.3025
90243,32.347653,-90.881354
81564,32.5053,-92.1132
90055,33.712532,-84.175622
82283,34.036712,-118.093298
84600,46.593091,-112.035631
83698,47.504354,-111.298937
82067,34.981874,-80.544095
80317,41.911183,-83.421734
84028,,
82593,,
82554,,
80178,36.143821,-115.281589
82645,39.944588,-74.951952
80532,39.113948,-77.156743
82636,32.775138,-117.127528
90263,29.533201,-98.563618
90536,39.464359,-119.789143
83789,33.581812,-112.109503
90261,40.814423,-74.454396
82654,34.217694,-119.096045
90608,33.935022,-84.183237
83834,40.756653,-73.986345
80513,29.940076,-90.073041
90325,25.783376,-80.299436
90259,34.741639,-92.353237
83833,40.703872,-73.798369
82423,,
82614,39.658121,-104.837635
80044,41.608629,-72.717735
81296,32.808764,-96.805428
82603,41.889745,-87.623839
90664,35.347513,-80.851707
83200,42.356247,-71.054166
82698,30.400885,-88.988317
80208,61.217961,-149.880885
80536,38.770796,-77.132425
82684,,
84752,45.445733,-122.776271
84828,33.852421,-84.36585
80084,40.407888,-79.909217
90539,44.955993,-93.135605
80838,32.314444,-90.181871
82507,32.327088,-90.195557
84137,32.283845,-90.227318
84170,35.941677,-89.918935
90280,32.327088,-90.195557
82560,37.760181,-122.419197
82238,44.971231,-93.073534
82282,31.996255,-102.079228
83675,43.828763,-84.823273
81466,29.210232,-81.07824
83419,30.451458,-91.169557
84012,40.479434,-89.01142
90517,40.880146,-88.631133
90233,42.977904,-85.630282
81939,42.730849,-84.480757
