release_date,time,index
1-Jan-09,05:00,310.79
1-Dec-08,05:00,288.9
1-Nov-08,05:00,292.5
1-Oct-08,05:00,346.52
1-Sep-08,05:00,323.13
1-Aug-08,05:00,336.87
1-Jul-08,05:00,353.75
1-Jun-08,05:00,356.78
1-May-08,05:00,367.17
1-Apr-08,05:00,373.91
1-Mar-08,05:00,372.35
1-Feb-08,05:00,417.07
1-Jan-08,05:00,412.45
1-Dec-07,05:00,429.38
1-Nov-07,05:00,418.63
1-Oct-07,05:00,432.55
1-Sep-07,05:00,440.14
1-Aug-07,05:00,436.4
1-Jul-07,05:00,444.89
1-Jun-07,05:00,433.68
1-May-07,05:00,413.4
1-Apr-07,05:00,409.32
1-Mar-07,05:00,397.12
1-Feb-07,05:00,427.4
1-Jan-07,05:00,424.46
1-Dec-06,05:00,409.91
1-Nov-06,05:00,383.38
1-Oct-06,05:00,396.8
1-Sep-06,05:00,384.1
1-Aug-06,05:00,396.78
1-Jul-06,05:00,407.01
1-Jun-06,05:00,407.06
1-May-06,05:00,411.95
1-Apr-06,05:00,408.33
1-Mar-06,05:00,403.97
1-Feb-06,05:00,450.17
1-Jan-06,05:00,450.05
1-Dec-05,05:00,476.37
1-Nov-05,05:00,469.18
1-Oct-05,05:00,493.24
1-Sep-05,05:00,490.56
1-Aug-05,05:00,490.82
1-Jul-05,05:00,497.8
1-Jun-05,05:00,484.6
1-May-05,05:00,474.98
1-Apr-05,05:00,456.14
1-Mar-05,05:00,431.78
1-Feb-05,05:00,430.81
1-Jan-05,05:00,468.62
1-Dec-04,05:00,473.47
1-Nov-04,05:00,458.79
1-Oct-04,05:00,462.32
1-Sep-04,05:00,450.98
1-Aug-04,05:00,455.97
1-Jul-04,05:00,451.3
1-Jun-04,05:00,462.99
1-May-04,05:00,455.3
1-Apr-04,05:00,447.87
1-Mar-04,05:00,415.55
1-Feb-04,05:00,455.37
1-Jan-04,05:00,408.58
1-Dec-03,05:00,425.75
1-Nov-03,05:00,386.51
1-Oct-03,05:00,413.12
1-Sep-03,05:00,395.71
1-Aug-03,05:00,437.59
1-Jul-03,05:00,421.53
1-Jun-03,05:00,416.73
1-May-03,05:00,377.78
1-Apr-03,05:00,362.11
1-Mar-03,05:00,329.45
1-Feb-03,05:00,364.27
1-Jan-03,05:00,359.31
1-Dec-02,05:00,354.52
1-Nov-02,05:00,352.09
1-Oct-02,05:00,368.71
1-Sep-02,05:00,358.77
1-Aug-02,05:00,374.22
1-Jul-02,05:00,373.18
1-Jun-02,05:00,367.98
1-May-02,05:00,350.72
1-Apr-02,05:00,326.88
1-Mar-02,05:00,314.23
1-Feb-02,05:00,352.68
1-Jan-02,05:00,317.9
1-Dec-01,05:00,314.54
1-Nov-01,05:00,278.07
1-Oct-01,05:00,296.3
1-Sep-01,05:00,303.74
1-Aug-01,05:00,312.5
1-Jul-01,05:00,321.93
1-Jun-01,05:00,313.83
1-May-01,05:00,300.97
1-Apr-01,05:00,296.38
1-Mar-01,05:00,290.26
1-Feb-01,05:00,313.76
1-Jan-01,05:00,288.06
1-Dec-00,05:00,316.92
1-Nov-00,05:00,304.86
1-Oct-00,05:00,317.38
1-Sep-00,05:00,307.42
1-Aug-00,05:00,312.95
1-Jul-00,05:00,312.07
1-Jun-00,05:00,307.85
1-May-00,05:00,304.9
1-Apr-00,05:00,296.57
1-Mar-00,05:00,279.51
1-Feb-00,05:00,282.55
1-Jan-00,05:00,268.29
1-Dec-99,05:00,294.79
1-Nov-99,05:00,269.25
1-Oct-99,05:00,270.18
1-Sep-99,05:00,275.24
1-Aug-99,05:00,281.49
1-Jul-99,05:00,310.92
1-Jun-99,05:00,289.1
1-May-99,05:00,278.32
1-Apr-99,05:00,258.74
1-Mar-99,05:00,246.98
1-Feb-99,05:00,269.57
1-Jan-99,05:00,274.87
1-Dec-98,05:00,285.89
1-Nov-98,05:00,297.84
1-Oct-98,05:00,293.38
1-Sep-98,05:00,257.05
1-Aug-98,05:00,260.64
1-Jul-98,05:00,264.7
1-Jun-98,05:00,261.52
1-May-98,05:00,257.11
1-Apr-98,05:00,226.91
1-Mar-98,05:00,235
1-Feb-98,05:00,275.1
1-Jan-98,05:00,228.69
1-Dec-97,05:00,224.83
1-Nov-97,05:00,220.13
1-Oct-97,05:00,218.48
1-Sep-97,05:00,214.34
1-Aug-97,05:00,211.18
1-Jul-97,05:00,208.27
1-Jun-97,05:00,193.45
1-May-97,05:00,181.37
1-Apr-97,05:00,203.4
1-Mar-97,05:00,184.2
1-Feb-97,05:00,182.31
1-Jan-97,05:00,191.7
1-Dec-96,05:00,195.39
1-Nov-96,05:00,183.56
1-Oct-96,05:00,186.19
1-Sep-96,05:00,180.95
1-Aug-96,05:00,182.6
1-Jul-96,05:00,183.68
1-Jun-96,05:00,187.36
1-May-96,05:00,180.28
1-Apr-96,05:00,178.92
1-Mar-96,05:00,176.35
1-Feb-96,05:00,174.97
1-Jan-96,05:00,205.84
1-Dec-95,05:00,190.66
1-Nov-95,05:00,186.68
1-Oct-95,05:00,189.25
1-Sep-95,05:00,159.72
1-Aug-95,05:00,161.49
1-Jul-95,05:00,170.75
1-Jun-95,05:00,159.68
1-May-95,05:00,150.03
1-Apr-95,05:00,139.92
1-Mar-95,05:00,137.19
1-Feb-95,05:00,131.87
1-Jan-95,05:00,122.45
1-Dec-94,05:00,136.17
1-Nov-94,05:00,135.35
1-Oct-94,05:00,138.2
1-Sep-94,05:00,141.16
1-Aug-94,05:00,143.49
1-Jul-94,05:00,145.3
1-Jun-94,05:00,146.07
1-May-94,05:00,152.73
1-Apr-94,05:00,160.07
1-Mar-94,05:00,154.96
1-Feb-94,05:00,135.82
1-Jan-94,05:00,149.52
1-Dec-93,05:00,163.2
1-Nov-93,05:00,163.92
1-Oct-93,05:00,175.04
1-Sep-93,05:00,153.56
1-Aug-93,05:00,166.59
1-Jul-93,05:00,157.95
1-Jun-93,05:00,151.2
1-May-93,05:00,167.42
1-Apr-93,05:00,151.79
1-Mar-93,05:00,154.03
1-Feb-93,05:00,130.76
1-Jan-93,05:00,142.28
1-Dec-92,05:00,138.08
1-Nov-92,05:00,139.79
1-Oct-92,05:00,145.42
1-Sep-92,05:00,142.66
1-Aug-92,05:00,139.28
1-Jul-92,05:00,118.12
1-Jun-92,05:00,118.95
1-May-92,05:00,117.93
1-Apr-92,05:00,114.85
1-Mar-92,05:00,129.38
1-Feb-92,05:00,136.32
1-Jan-92,05:00,99.57
1-Dec-91,05:00,104.32
1-Nov-91,05:00,110.29
1-Oct-91,05:00,106.8
1-Sep-91,05:00,105.27
1-Aug-91,05:00,115.35
1-Jul-91,05:00,113.88
1-Jun-91,05:00,118.24
1-May-91,05:00,111.52
1-Apr-91,05:00,115.86
1-Mar-91,05:00,104.84
1-Feb-91,05:00,86.59
1-Jan-91,05:00,78.34
1-Dec-90,05:00,82.12
1-Nov-90,05:00,75.58
1-Oct-90,05:00,80.45
1-Sep-90,05:00,88.8
1-Aug-90,05:00,89.1
1-Jul-90,05:00,90.27
1-Jun-90,05:00,88.39
1-May-90,05:00,90.79
1-Apr-90,05:00,91.84
1-Mar-90,05:00,100.21
1-Feb-90,05:00,92.78
